Industry,Title,Date,Location,Link
business--conferences,"VDID Design.Wissen.Diskurs.  ""Design im Zeitalter von Daten und KI""",Sales end soon,Wednesday at 6:00 PM GMT+1,https://www.eventbrite.comhttps://www.eventbrite.de/e/vdid-designwissendiskurs-design-im-zeitalter-von-daten-und-ki-tickets-1982300572374?aff=ebdssbdestsearch
business--conferences,Impact by Design: Planning Together for Change (Virtual),"Wed, Mar 4, 10:30 AM CST",N/A,https://www.eventbrite.comhttps://www.eventbrite.com/e/impact-by-design-planning-together-for-change-virtual-tickets-1969971229979?aff=ebdssbdestsearch
business--conferences,Integrating Systems to Electrify Homes,"Thu, Feb 26, 12:00 PM CST",N/A,https://www.eventbrite.comhttps://www.eventbrite.ca/e/integrating-systems-to-electrify-homes-tickets-1982712968863?aff=ebdssbdestsearch
business--conferences,AIM WOMEN'S CONFERENCE 2026,"Sat, Mar 28, 10:00 AM EDT",N/A,https://www.eventbrite.comhttps://www.eventbrite.com/e/aim-womens-conference-2026-tickets-1982389385015?aff=ebdssbdestsearch
business--conferences,2026 Tools of the Trades Conference,"Thu, Mar 19, 9:00 AM EDT",N/A,https://www.eventbrite.comhttps://www.eventbrite.com/e/2026-tools-of-the-trades-conference-tickets-1977977767749?aff=ebdssbdestsearch
business--conferences,29th Annual HR Forum - Translating Workforce Trends into Career Strategies,Sales end soon,Thursday at 11:00 AM MST,https://www.eventbrite.comhttps://www.eventbrite.com/e/29th-annual-hr-forum-translating-workforce-trends-into-career-strategies-tickets-1980673563948?aff=ebdssbdestsearch
business--conferences,2026 Mindful World Summit,"Thu, Mar 12, 9:00 AM PDT",N/A,https://www.eventbrite.comhttps://www.eventbrite.com/e/2026-mindful-world-summit-tickets-1297742555919?aff=ebdssbdestsearch
business--conferences,KI & Digital Strategie für Unternehmen,"Tue, Feb 24, 5:00 PM GMT+1",N/A,https://www.eventbrite.comhttps://www.eventbrite.de/e/ki-digital-strategie-fur-unternehmen-tickets-1981848886369?aff=ebdssbdestsearch
business--conferences,Facilitation Day : servir la machine ou s’en servir ?,"Fri, Mar 27, 8:30 AM GMT+1",N/A,https://www.eventbrite.comhttps://www.eventbrite.fr/e/facilitation-day-servir-la-machine-ou-sen-servir-registration-1924249304469?aff=ebdssbdestsearch
business--conferences,Terror Financing : How it's Done and What to Look For,"Mon, Feb 23, 4:00 PM GMT+1",N/A,https://www.eventbrite.comhttps://www.eventbrite.fr/e/terror-financing-how-its-done-and-what-to-look-for-tickets-1982425481982?aff=ebdssbdestsearch
business--conferences,Ensuring Effective Workplace Grievance Mechanisms 18 MAR 2026,"Wed, Mar 18, 1:00 PM GMT",N/A,https://www.eventbrite.comhttps://www.eventbrite.co.uk/e/ensuring-effective-workplace-grievance-mechanisms-18-mar-2026-tickets-1974898149528?aff=ebdssbdestsearch
business--conferences,WEB 3133 ILPA Student Sponsors Conference (Online),"Thu, Mar 19, 10:00 AM GMT",N/A,https://www.eventbrite.comhttps://www.eventbrite.co.uk/e/web-3133-ilpa-student-sponsors-conference-online-tickets-1730090359839?aff=ebdssbdestsearch
business--conferences,II Jornadas Neurodiversidad y Empleo,"Mon, Mar 16, 6:00 PM GMT+1",N/A,https://www.eventbrite.comhttps://www.eventbrite.es/e/ii-jornadas-neurodiversidad-y-empleo-tickets-1980078426877?aff=ebdssbdestsearch
business--conferences,P&P's WBT Conference: Checking the Vitals of your Organization's Culture,Sales end soon,Thursday at 9:00 AM EST,https://www.eventbrite.comhttps://www.eventbrite.com/e/pps-wbt-conference-checking-the-vitals-of-your-organizations-culture-tickets-1778667946709?aff=ebdssbdestsearch
business--conferences,A Wedded Pro Exclusive: The State of the Wedding Industry 2026,"Wed, Feb 25, 7:00 PM GMT+11",N/A,https://www.eventbrite.comhttps://www.eventbrite.com.au/e/a-wedded-pro-exclusive-the-state-of-the-wedding-industry-2026-tickets-1981407576399?aff=ebdssbdestsearch
business--conferences,Advocis Edmonton & Calgary: 2026 A&S Group Benefits,"Thu, Mar 12, 10:00 AM MDT",N/A,https://www.eventbrite.comhttps://www.eventbrite.ca/e/advocis-edmonton-calgary-2026-as-group-benefits-tickets-1982386070100?aff=ebdssbdestsearch
business--conferences,US FDA Device CGMP Inspections Under the New QMSR,Sales end soon,Friday at 1:00 PM EST,https://www.eventbrite.comhttps://www.eventbrite.com/e/us-fda-device-cgmp-inspections-under-the-new-qmsr-tickets-1982873814958?aff=ebdssbdestsearch
technology--conferences,Mapping the Beetle Tree of Life,Sales end soon,Tomorrow at 1:00 PM GMT,https://www.eventbrite.comhttps://www.eventbrite.co.uk/e/mapping-the-beetle-tree-of-life-tickets-1815106274729?aff=ebdssbdestsearch
technology--conferences,*VIRTUAL* St John’s DermAcademy Paediatric Dermatology WITH RECORDING,Almost full,"Thu, Feb 26, 8:30 AM GMT",https://www.eventbrite.comhttps://www.eventbrite.co.uk/e/virtual-st-johns-dermacademy-paediatric-dermatology-with-recording-tickets-1109537048179?aff=ebdssbdestsearch
technology--conferences,LC Conference & International Mother Language Day Celebration 2026,Going fast,Saturday at 8:30 AM GMT,https://www.eventbrite.comhttps://www.eventbrite.co.uk/e/lc-conference-international-mother-language-day-celebration-2026-tickets-1217819574129?aff=ebdssbdestsearch
technology--conferences,Antarctic Invertebrates: Diversity and Threats,"Thu, Mar 5, 1:00 PM GMT",N/A,https://www.eventbrite.comhttps://www.eventbrite.co.uk/e/antarctic-invertebrates-diversity-and-threats-tickets-1914682529989?aff=ebdssbdestsearch
technology--conferences,PBS Good Practice Conference: Deserving Better - Ensuring Quality PBS,Almost full,"Wed, Feb 25, 9:00 AM GMT",https://www.eventbrite.comhttps://www.eventbrite.co.uk/e/pbs-good-practice-conference-deserving-better-ensuring-quality-pbs-tickets-1659015583269?aff=ebdssbdestsearch
technology--conferences,Early Years Conference: Leading the Way,"Fri, Feb 27, 9:15 AM GMT",N/A,https://www.eventbrite.comhttps://www.eventbrite.co.uk/e/early-years-conference-leading-the-way-tickets-1852055119719?aff=ebdssbdestsearch
technology--conferences,IndieGameBusiness® Sessions: From Pitch to Partnership,Wednesday at 9:00 AM EST,N/A,https://www.eventbrite.comhttps://www.eventbrite.com/e/indiegamebusiness-sessions-from-pitch-to-partnership-tickets-1829363759249?aff=ebdssbdestsearch
technology--conferences,"World Teen Mental Wellness Day: Feel Different, Live Different","Mon, Mar 2, 6:00 PM EST",N/A,https://www.eventbrite.comhttps://www.eventbrite.com/e/world-teen-mental-wellness-day-feel-different-live-different-tickets-1978193301416?aff=ebdssbdestsearch
technology--conferences,Justice or Politics? Examining the DOJ,Sales end soon,Thursday at 7:00 PM EST,https://www.eventbrite.comhttps://www.eventbrite.com/e/justice-or-politics-examining-the-doj-tickets-1981854866255?aff=ebdssbdestsearch
technology--conferences,Advancing Nature-Based Early Care & Education,"Wed, Feb 25, 2:00 PM CST",N/A,https://www.eventbrite.comhttps://www.eventbrite.com/e/advancing-nature-based-early-care-education-tickets-1981054194424?aff=ebdssbdestsearch
technology--conferences,Integrating Creative Arts and Behavioral Health,Going fast,Tomorrow at 5:30 PM CST,https://www.eventbrite.comhttps://www.eventbrite.com/e/integrating-creative-arts-and-behavioral-health-tickets-1975145900558?aff=ebdssbdestsearch
technology--conferences,Existential Movement Festival of Life 2026,Sales end soon,Friday at 6:00 PM GMT,https://www.eventbrite.comhttps://www.eventbrite.co.uk/e/existential-movement-festival-of-life-2026-tickets-1895302533899?aff=ebdssbdestsearch
technology--conferences,The Philosophy of Anxiety,"Sat, Mar 28, 12:00 PM EDT",N/A,https://www.eventbrite.comhttps://www.eventbrite.ca/e/the-philosophy-of-anxiety-registration-1981248713235?aff=ebdssbdestsearch
technology--conferences,9th Annual Intrapartum Care Conference,Sales end soon,Friday at 8:20 AM EST,https://www.eventbrite.comhttps://www.eventbrite.ca/e/9th-annual-intrapartum-care-conference-tickets-1603182304429?aff=ebdssbdestsearch
technology--conferences,Student Festival 2026,"Wed, Mar 4, 8:30 AM GMT",N/A,https://www.eventbrite.comhttps://www.eventbrite.co.uk/e/student-festival-2026-registration-1858631921109?aff=ebdssbdestsearch
technology--conferences,2026 MHA-SWPA Conference: Men's Mental Health - Changing the Narrative,Going fast,"Fri, Feb 27, 8:30 AM EST",https://www.eventbrite.comhttps://www.eventbrite.com/e/2026-mha-swpa-conference-mens-mental-health-changing-the-narrative-registration-1977734268436?aff=ebdssbdestsearch
technology--conferences,Biodiversity Net Gain Virtual Symposium 2026,"Wed, Mar 18, 10:00 AM GMT",N/A,https://www.eventbrite.comhttps://www.eventbrite.co.uk/e/biodiversity-net-gain-virtual-symposium-2026-tickets-1246940004119?aff=ebdssbdestsearch
technology--conferences,Run Where You Are - Say Yes!,"Tue, Feb 24, 7:00 PM EST",N/A,https://www.eventbrite.comhttps://www.eventbrite.ca/e/run-where-you-are-say-yes-tickets-1981741901374?aff=ebdssbdestsearch
technology--conferences,Linnean Lens | Linnaeus’s Pearls and the Freshwater Pearl Mussel,"Tue, Mar 3, 2:00 PM GMT",N/A,https://www.eventbrite.comhttps://www.eventbrite.co.uk/e/linnean-lens-linnaeuss-pearls-and-the-freshwater-pearl-mussel-tickets-1581698014339?aff=ebdssbdestsearch
technology--conferences,Innovation and the Changing Face of Healthcare Delivery,Going fast,"Thu, Feb 26, 5:30 PM CST",https://www.eventbrite.comhttps://www.eventbrite.com/e/innovation-and-the-changing-face-of-healthcare-delivery-tickets-1980417381700?aff=ebdssbdestsearch
technology--conferences,"Conquest and Change in the Hinterland of Roman Alchester, by Becky Haslam","Thu, Feb 26, 7:30 PM GMT",N/A,https://www.eventbrite.comhttps://www.eventbrite.co.uk/e/conquest-and-change-in-the-hinterland-of-roman-alchester-by-becky-haslam-tickets-1982873126900?aff=ebdssbdestsearch
technology--conferences,2026 SNMA Region I Regional Medical Education Conference (RMEC),"Sat, Mar 14, 9:00 AM MST",N/A,https://www.eventbrite.comhttps://www.eventbrite.com/e/2026-snma-region-i-regional-medical-education-conference-rmec-tickets-1975667219838?aff=ebdssbdestsearch
technology--conferences,ARTISTic Symposium: Re-Normalising Interspecies Communication,Sales end soon,Wednesday at 2:00 PM GMT,https://www.eventbrite.comhttps://www.eventbrite.co.uk/e/artistic-symposium-re-normalising-interspecies-communication-tickets-1980183166155?aff=ebdssbdestsearch
technology--conferences,Wintermoot 2026 | The Troth's Annual Winter Conference,"Fri, Feb 27, 4:30 PM PST",N/A,https://www.eventbrite.comhttps://www.eventbrite.com/e/wintermoot-2026-the-troths-annual-winter-conference-tickets-1977827005816?aff=ebdssbdestsearch
technology--conferences,Utopian Architecture: BRUTALISM,Friday at 6:00 PM GMT+1,N/A,https://www.eventbrite.comhttps://www.eventbrite.co.uk/e/utopian-architecture-brutalism-tickets-1982876452848?aff=ebdssbdestsearch
technology--conferences,NWG CE Annual Conference 2026,"Thu, Mar 5, 10:00 AM GMT",N/A,https://www.eventbrite.comhttps://www.eventbrite.co.uk/e/nwg-ce-annual-conference-2026-tickets-1976457839603?aff=ebdssbdestsearch
technology--conferences,American Name Society Annual Meeting 2026,Sales end soon,Saturday at 9:15 AM EST,https://www.eventbrite.comhttps://www.eventbrite.com/e/american-name-society-annual-meeting-2026-tickets-1980904507707?aff=ebdssbdestsearch
technology--conferences,53rd Louisville Conference on Literature Culture--VIRTUAL EVENTS,Sales end soon,Today at 9:00 AM EST,https://www.eventbrite.comhttps://www.eventbrite.com/e/53rd-louisville-conference-on-literature-culture-virtual-events-tickets-1964350231421?aff=ebdssbdestsearch
technology--conferences,50th Annual Virtual AHEA Conference,Going fast,"Wed, Feb 25, 8:30 AM EST",https://www.eventbrite.comhttps://www.eventbrite.com/e/50th-annual-virtual-ahea-conference-tickets-1587688562229?aff=ebdssbdestsearch
technology--conferences,"Cherished, Chosen, & Loved",Sales end soon,Thursday at 8:00 PM EST,https://www.eventbrite.comhttps://www.eventbrite.com/e/cherished-chosen-loved-tickets-1980580193675?aff=ebdssbdestsearch
technology--conferences,REFRAME: Centering Blackness In Queer Spaces,Sales end soon,Tomorrow at 6:30 PM EST,https://www.eventbrite.comhttps://www.eventbrite.com/e/reframe-centering-blackness-in-queer-spaces-tickets-1981859757886?aff=ebdssbdestsearch
health--conferences,5th Pain Supported Self Management - Online World Conference #PSSMW26,N/A,N/A,https://www.eventbrite.comhttps://www.eventbrite.co.uk/e/5th-pain-supported-self-management-online-world-conference-pssmw26-tickets-1243365091459?aff=ebdssbdestsearch
health--conferences,PiCSA Education Meeting- Echocardiography,"Tue, Feb 24, 7:00 PM GMT+11",N/A,https://www.eventbrite.comhttps://www.eventbrite.com.au/e/picsa-education-meeting-echocardiography-tickets-1982772386583?aff=ebdssbdestsearch
health--conferences,2026  PMA Virtual Pilates Research Forum,"Sat, Feb 28, 9:00 AM PST",N/A,https://www.eventbrite.comhttps://www.eventbrite.com/e/2026-pma-virtual-pilates-research-forum-registration-1979987862998?aff=ebdssbdestsearch
health--conferences,Partnerships for Success: Public Health and Health System Collaboration,Going fast,"Thu, Feb 26, 3:30 PM CST",https://www.eventbrite.comhttps://www.eventbrite.com/e/partnerships-for-success-public-health-and-health-system-collaboration-tickets-1980414598375?aff=ebdssbdestsearch
health--conferences,ZEAL FOR TEAL: 15th Annual Survivorship Empowerment Series,"Thu, Mar 19, 10:00 AM CDT",N/A,https://www.eventbrite.comhttps://www.eventbrite.com/e/zeal-for-teal-15th-annual-survivorship-empowerment-series-registration-1980232514758?aff=ebdssbdestsearch
health--conferences,22nd Annual Mature Women's Health Conference,"Fri, Apr 17, 8:00 AM EDT",N/A,https://www.eventbrite.comhttps://www.eventbrite.ca/e/22nd-annual-mature-womens-health-conference-tickets-1963453491247?aff=ebdssbdestsearch
health--conferences,Canadian Basketball Performance Conference (For Professionals),"Sat, Mar 14, 10:00 AM EDT",N/A,https://www.eventbrite.comhttps://www.eventbrite.com/e/canadian-basketball-performance-conference-for-professionals-tickets-1976259296756?aff=ebdssbdestsearch
health--conferences,4th  Bay Path University Trauma-Informed Practice in ABA Remote Conference,"Fri, Apr 10, 8:30 AM EDT",N/A,https://www.eventbrite.comhttps://www.eventbrite.com/e/4th-bay-path-university-trauma-informed-practice-in-aba-remote-conference-tickets-1852053956239?aff=ebdssbdestsearch
health--conferences,WEB 3149 Visit Visa Challenges (Bitesize),"Wed, Mar 4, 4:00 PM GMT",N/A,https://www.eventbrite.comhttps://www.eventbrite.co.uk/e/web-3149-visit-visa-challenges-bitesize-tickets-1978611027847?aff=ebdssbdestsearch
health--conferences,A Century of Black Health,Sales end soon,Saturday at 8:00 AM CST,https://www.eventbrite.comhttps://www.eventbrite.com/e/a-century-of-black-health-tickets-1979172238443?aff=ebdssbdestsearch
health--conferences,SCOOP - Management of Post Operative Haemorrhage After Thyroidectomy,"Sat, Feb 28, 11:00 AM GMT",N/A,https://www.eventbrite.comhttps://www.eventbrite.com/e/scoop-management-of-post-operative-haemorrhage-after-thyroidectomy-tickets-1981364012097?aff=ebdssbdestsearch
health--conferences,Pain in Palliative Care Study Day,Going fast,"Wed, Mar 25, 10:00 AM GMT",https://www.eventbrite.comhttps://www.eventbrite.co.uk/e/pain-in-palliative-care-study-day-tickets-1098897836009?aff=ebdssbdestsearch
health--conferences,Women Who Heal 3rd Annual Summit,"Sun, Mar 8, 7:30 AM PDT",N/A,https://www.eventbrite.comhttps://www.eventbrite.com/e/women-who-heal-3rd-annual-summit-tickets-1978366683005?aff=ebdssbdestsearch
health--conferences,Pathways to Wellness: Black Mental Health Resource Fair,Sales end soon,Tomorrow at 6:00 PM PST,https://www.eventbrite.comhttps://www.eventbrite.com/e/pathways-to-wellness-black-mental-health-resource-fair-tickets-1980149255728?aff=ebdssbdestsearch
health--conferences,2026 Elevating Physical Therapy Practice to Advance Health Equity,"Sat, Apr 18, 9:00 AM EDT",N/A,https://www.eventbrite.comhttps://www.eventbrite.com/e/2026-elevating-physical-therapy-practice-to-advance-health-equity-tickets-1980494876489?aff=ebdssbdestsearch
health--conferences,"PCOS is my Power: Misunderstood and mistreated  (online, IRE)","Wed, Feb 25, 6:30 PM GMT",N/A,https://www.eventbrite.comhttps://www.eventbrite.co.uk/e/pcos-is-my-power-misunderstood-and-mistreated-online-ire-tickets-1980562361338?aff=ebdssbdestsearch
health--conferences,AuDHD Online Summit 2026 ! general public focussed,Saturday at 9:00 AM GMT,N/A,https://www.eventbrite.comhttps://www.eventbrite.com/e/audhd-online-summit-2026-general-public-focussed-tickets-1980974830043?aff=ebdssbdestsearch
health--conferences,Paediatric Anaesthetic and Recovery Nursing Symposium,"Wed, Mar 4, 12:00 PM GMT",N/A,https://www.eventbrite.comhttps://www.eventbrite.com/e/paediatric-anaesthetic-and-recovery-nursing-symposium-tickets-1981309193132?aff=ebdssbdestsearch
health--conferences,DC: 0 - 5: Clinical Diagnosis in Early Childhood,"Mon, Mar 9, 9:00 AM CDT",N/A,https://www.eventbrite.comhttps://www.eventbrite.com/e/dc-0-5-clinical-diagnosis-in-early-childhood-tickets-1766545819099?aff=ebdssbdestsearch
health--conferences,EDUCACION MEDICA CONTINUA *CURSOS COMPULSORIOS* WEBINAR ZOOM *21-MARZO-2026,"Sat, Mar 21, 8:00 AM AST",N/A,https://www.eventbrite.comhttps://www.eventbrite.com/e/educacion-medica-continua-cursos-compulsorios-webinar-zoom-21-marzo-2026-registration-1981818426262?aff=ebdssbdestsearch
health--conferences,2026 Diabetes + Mental Health Virtual Conference,"Fri, May 1, 11:00 AM EDT",N/A,https://www.eventbrite.comhttps://www.eventbrite.com/e/2026-diabetes-mental-health-virtual-conference-tickets-1902524023569?aff=ebdssbdestsearch
health--conferences,Cleft Palate Care  From Clinic To Classroom Practical Tools for Today's SLP,"Sat, Mar 21, 8:45 AM PDT",N/A,https://www.eventbrite.comhttps://www.eventbrite.com/e/cleft-palate-care-from-clinic-to-classroom-practical-tools-for-todays-slp-tickets-1979559606070?aff=ebdssbdestsearch
health--conferences,"Beyond Beginnings: A Virtual Maternal, Child, & Family Health Symposium","Fri, Mar 6, 9:00 AM EST",N/A,https://www.eventbrite.comhttps://www.eventbrite.com/e/beyond-beginnings-a-virtual-maternal-child-family-health-symposium-tickets-1980640578287?aff=ebdssbdestsearch
health--conferences,*VIRTUAL COURSE* St John’s DermAcademy Dermoscopy Course WITH  RECORDING,"Fri, Jun 5, 9:00 AM GMT+1",N/A,https://www.eventbrite.comhttps://www.eventbrite.co.uk/e/virtual-course-st-johns-dermacademy-dermoscopy-course-with-recording-tickets-1490819113099?aff=ebdssbdestsearch
health--conferences,Find Meaning in Suffering: A Clinical Framework for Life's Greatest Crises,Just added,"Thu, Mar 19, 8:30 AM EDT",https://www.eventbrite.comhttps://www.eventbrite.com/e/find-meaning-in-suffering-a-clinical-framework-for-lifes-greatest-crises-tickets-1982538108852?aff=ebdssbdestsearch
health--conferences,23rd Annual Pregnancy & Birth Conference,"Fri, May 29, 8:00 AM EDT",N/A,https://www.eventbrite.comhttps://www.eventbrite.ca/e/23rd-annual-pregnancy-birth-conference-tickets-1963479003555?aff=ebdssbdestsearch
health--conferences,Rel-Azioni. Imparare ad amarmi: la funzione principale di una relazione,"Mon, Mar 2, 7:00 PM GMT+1",N/A,https://www.eventbrite.comhttps://www.eventbrite.it/e/rel-azioni-imparare-ad-amarmi-la-funzione-principale-di-una-relazione-tickets-1964304310069?aff=ebdssbdestsearch
health--conferences,The Future of Healthcare Financing,"Fri, Mar 27, 1:00 PM CDT",N/A,https://www.eventbrite.comhttps://www.eventbrite.com/e/the-future-of-healthcare-financing-tickets-1982204184074?aff=ebdssbdestsearch
health--conferences,Sustainable dentistry: reducing our environmental impact,"Wed, Mar 4, 12:15 PM GMT",N/A,https://www.eventbrite.comhttps://www.eventbrite.co.uk/e/sustainable-dentistry-reducing-our-environmental-impact-tickets-1659516341049?aff=ebdssbdestsearch
health--conferences,*VIRTUAL* St John's DermAcademy Allergy & The Skin Course  WITH RECORDING,"Tue, Apr 28, 9:00 AM GMT+1",N/A,https://www.eventbrite.comhttps://www.eventbrite.co.uk/e/virtual-st-johns-dermacademy-allergy-the-skin-course-with-recording-tickets-1441592876099?aff=ebdssbdestsearch
health--conferences,"RISE, the Grace & Growth Summit","Sat, Feb 28, 10:00 AM PST",N/A,https://www.eventbrite.comhttps://www.eventbrite.com/e/rise-the-grace-growth-summit-tickets-1977783652144?aff=ebdssbdestsearch
health--conferences,Mental Health & Psychiatric Disorders,N/A,N/A,https://www.eventbrite.comhttps://www.eventbrite.co.uk/e/mental-health-psychiatric-disorders-tickets-1368397938069?aff=ebdssbdestsearch
health--conferences,My Neurodivergent Self - Mental Health / Burnout - Workshop Three,"Wed, Mar 18, 6:30 PM GMT",N/A,https://www.eventbrite.comhttps://www.eventbrite.co.uk/e/my-neurodivergent-self-mental-health-burnout-workshop-three-tickets-1977958210252?aff=ebdssbdestsearch
